TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LENGTH,TEXT_SUMMARY
"Happu - Printed Ceramic Coffee Mug, Motivational Quotes, You are What You Do, Gift for Coach, Gift for Artist, Gift for Coworkers, Gift for Fitness Freak, Gift for Teachers, 325 ML(11Oz), 2745-BP","[<p>&#127872 BEST QUALITY & PACKAGING - Mug is 11 Oz, 325 ML, Both Side Same Printed Design, Made Up of Best Quality & Durable White Ceramic Material. Prints on Coffee Mugs is of Top Quality, Corrugated Box Safe for Packaging </p>,<p>&#127872 GREAT APPEARANCE - This Lightweight Coffee Mug is Perfect in Size to Hold & To Have Your Favorite Beverage Anytime. Use it With Hot or Cold Beverage </p>,<p>&#127872 PERFECT GIFT - Gift Your Loved One With This Elegant Coffee Mug & Pass Your Wishes to Them </p>,<p>&#127872 STYLE & DESIGN - Our Graphic Design On Mugs are Simple but Elegant and Have Been Aesthetically Made Keeping in Mind of Emotions & Occasions. The C-Shaped Handle Allows Both Left- & Right-Hand Usage to Enjoy Your Favorite Beverage </p>,<p>&#127872 WASH CARE & INSTRUCTION - Product is Non-Toxic, BPA Free, Environment Friendly, Microwave Oven & Freezer Safe. Do Not Scrub from Outside of Mug or on Print, Do Not Use Dishwasher to Wash, Do Not Bleach or Use Harsh Detergents & Handle with Care NOTE - Color of the Actual Product Design May Slightly Vary due to Different Photographic Lighting Sources / Your Display Color Settings </p>]","<p>&#127872 Make Your Tea / Coffee Moment Delightful with these Stylish and Best Quality Mugs with Your Family and Friends.</p> <p>&#127872 Presenting a Stylish Attractive Coffee Mug from House of Happu Gifts.</p> <p>&#127872 Our Graphic Design On Mugs are Simple but Elegant and Have Been Aesthetically Made Keeping in Mind of Emotions and Occasions.</p> <p>&#127872 The C-Shaped Handle Allows Both Left and Right Hand Usage to Enjoy Your Favorite Beverage.</p> <p>&#127872 These Mugs are Best Used for Serving Tea, Coffee, Milk, Hot Chocolate, Green Tea, Black Tea, Black Coffee, Kawa, Milkshake, Lassi and Many More.</p> <p>&#127872 These Mugs will be Wonderful Addition to Your Home Kitchen. These Mugs are Extremely Durable with Regular Usage for a Long Time.</p> <p>&#127872 A Recommended Perfect Gift for Multiple Occasions Be it a Birthday, Anniversary, Wedding, Retirement, Friendship, Housewarming, Thanksgiving, Rakshabandhan, Bhaidooj, Diwali, Christmas and Many More....</p>",1396,511.8110231,"Happu - Printed Ceramic Coffee Mug, Motivational Quotes, You are What You Do, Gift for Coach, Gift for Artist, Gift for Coworkers, Gift for Fitness Freak, Gift for Teachers, 325 ML(11Oz), 2745-BP. [<p>&#127872 BEST QUALITY & PACKAGING - Mug is 11 Oz, 325 ML, Both Side Same Printed Design, Made Up of Best Quality & Durable White Ceramic Material. Prints on Coffee Mugs is of Top Quality, Corrugated Box Safe for Packaging </p>,<p>&#127872 GREAT APPEARANCE - This Lightweight Coffee Mug is Perfect in Size to Hold & To Have Your Favorite Beverage Anytime. Use it With Hot or Cold Beverage </p>,<p>&#127872 PERFECT GIFT - Gift Your Loved One With This Elegant Coffee Mug & Pass Your Wishes to Them </p>,<p>&#127872 STYLE & DESIGN - Our Graphic Design On Mugs are Simple but Elegant and Have Been Aesthetically Made Keeping in Mind of Emotions & Occasions. The C-Shaped Handle Allows Both Left- & Right-Hand Usage to Enjoy Your Favorite Beverage </p>,<p>&#127872 WASH CARE & INSTRUCTION - Product is Non-Toxic, BPA Free, Environment Friendly, Microwave Oven & Freezer Safe. Do Not Scrub from Outside of Mug or on Print, Do Not Use Dishwasher to Wash, Do Not Bleach or Use Harsh Detergents & Handle with Care NOTE - Color of the Actual Product Design May Slightly Vary due to Different Photographic Lighting Sources / Your Display Color Settings </p>]. <p>&#127872 Make Your Tea / Coffee Moment Delightful with these Stylish and Best Quality Mugs with Your Family and Friends.</p> <p>&#127872 Presenting a Stylish Attractive Coffee Mug from House of Happu Gifts.</p> <p>&#127872 Our Graphic Design On Mugs are Simple but Elegant and Have Been Aesthetically Made Keeping in Mind of Emotions and Occasions.</p> <p>&#127872 The C-Shaped Handle Allows Both Left and Right Hand Usage to Enjoy Your Favorite Beverage.</p> <p>&#127872 These Mugs are Best Used for Serving Tea, Coffee, Milk, Hot Chocolate, Green Tea, Black Tea, Black Coffee, Kawa, Milkshake, Lassi and Many More.</p> <p>&#127872 These Mugs will be Wonderful Addition to Your Home Kitchen. These Mugs are Extremely Durable with Regular Usage for a Long Time.</p> <p>&#127872 A Recommended Perfect Gift for Multiple Occasions Be it a Birthday, Anniversary, Wedding, Retirement, Friendship, Housewarming, Thanksgiving, Rakshabandhan, Bhaidooj, Diwali, Christmas and Many More....</p>"
Leave A Light On (Green Vinyl),No Bullet Points,No Description,804,1220.0,Leave A Light On (Green Vinyl). No Bullet Points. No Description
Pikkme Oneplus Nord Designer Printed Hard Back Cover Case for Oneplus Nord (Balloon Orange Red Mountains Black),"[Protection: Oneplus Nord Cover and Case by Pikkme provide best protection to your phone; it prevents it from the damages a smartphone got from falls and drops. It got camera bump to protect it from serious damages.,Quality: Our Back Cover for Oneplus Nord is made with high quality Poly-carbonate material which provides it sturdy grip and matte finish feel. They never get YELLOW like the SOFT Silicone Case get.,Print Quality & Warranty: Mobile Cover for Oneplus Nord printed by pikkme is the best cases you can get. These cases are printed with Original Korean - Ink Sublimation Technology which makes the print never fades away. We provide life time print warranty for our Oneplus Nord cases. Our print quality is much better than the print quality of soft cases as they got faded and cracks within a month or so.,Precision: The mobile cover for Oneplus Nord by pikkme is highly precise with the cut-outs and opening for ports and buttons. They provide easy access to all your buttons and earphone jack too.,Designs & Best Gift Item: Pikkme Oneplus Nord back cover are built with cool, funky and awesome designs in mind, we cater you the coolest phone cases ever for you device and not only that you can gift these cases to your loved ones too.]","Unique product by Pikkme Made with cutting edge sublimation printing technology, this polymer phone case by Pikkme is capable of withstanding a lot of intensive use without suffering as much as a scratch. The only phone case for mobile model Oneplus Nord is intended specifically for and fits the dimensions of this phone while leaving almost no space in between. Very colorful design is making the cover visually impressive even from afar. Serious protection Despite a very thin profile and negligible weight, the case is much stronger than it looks at first sight and won’t bend or break even if you drop the phone to the ground. Technical perfection Technical quality of Oneplus Nord case is off the charts, while worldwide delivery is lighting fast. Printing comes with a one-year warranty.",12064,787.401574,"Pikkme Oneplus Nord Designer Printed Hard Back Cover Case for Oneplus Nord (Balloon Orange Red Mountains Black). [Protection: Oneplus Nord Cover and Case by Pikkme provide best protection to your phone; it prevents it from the damages a smartphone got from falls and drops. It got camera bump to protect it from serious damages.,Quality: Our Back Cover for Oneplus Nord is made with high quality Poly-carbonate material which provides it sturdy grip and matte finish feel. They never get YELLOW like the SOFT Silicone Case get.,Print Quality & Warranty: Mobile Cover for Oneplus Nord printed by pikkme is the best cases you can get. These cases are printed with Original Korean - Ink Sublimation Technology which makes the print never fades away. We provide life time print warranty for our Oneplus Nord cases. Our print quality is much better than the print quality of soft cases as they got faded and cracks within a month or so.,Precision: The mobile cover for Oneplus Nord by pikkme is highly precise with the cut-outs and opening for ports and buttons. They provide easy access to all your buttons and earphone jack too.,Designs & Best Gift Item: Pikkme Oneplus Nord back cover are built with cool, funky and awesome designs in mind, we cater you the coolest phone cases ever for you device and not only that you can gift these cases to your loved ones too.]. Unique product by Pikkme Made with cutting edge sublimation printing technology, this polymer phone case by Pikkme is capable of withstanding a lot of intensive use without suffering as much as a scratch. The only phone case for mobile model Oneplus Nord is intended specifically for and fits the dimensions of this phone while leaving almost no space in between. Very colorful design is making the cover visually impressive even from afar. Serious protection Despite a very thin profile and negligible weight, the case is much stronger than it looks at first sight and won’t bend or break even if you drop the phone to the ground. Technical perfection Technical quality of Oneplus Nord case is off the charts, while worldwide delivery is lighting fast. Printing comes with a one-year warranty."
"iPhone Xs MAX Case, ZHIKE Anti-Peep Magnetic Adsorption Case Front and Back Tempered Glass Full Screen Coverage One-Piece Design Flip Privacy Cover for Apple iPhone Xs MAX (Anti Spy-Clear Golden)","[【Magnetic adsorption design】: Strong magnetic field adsorption technology take you to the new case era. From now on, case installing became a pleasure. It makes your iPhone stand out among crowd.,【Super easy installation】: Magnetic strong adsorption mobile phone shell (a total of 16 magnetic points) automatic closing, easy to assemble. More methods of installation are waiting for you to find out. (Note: Please remove the screen protector if there is a screen protector on your phone, otherwise it will affect the normal use of the phone case.),【Privacy Screen】: Only visible within +/- 30 degrees, it offers high definition when you view from the front. But the bystanders on both left and right sides can only see a black screen. Keeps your personal information safe from strange and curious eyes.,【All-round defence】: Full body metal frame protection & Anti-drop & Shock-absorbing design. Raised bezels lift screen and camera off flat surfaces, toughend nanoglass back, anti-scratch & anti-dirty, protect your phone from scratching, shock & smudge, premium materials offer unrivaled protection and enhanced durability.,【Precise Cut Outs】: Support wireless charging and will not affect the signal transmission. It's super seamless when the case pieces touch, slim cover fits well to your device and make it easy to access to all ports, speakers, chargers and all iPhone features.]","Note 1: Please install this phone case without the screen protector, you do not need to buy a screen protector.<br> Note 2: After wiping the screen inside the phone case, put the phone into the phone case.<br><br> <b>How to install the case for iPhone XS MAX?</b><br><br>1. Pick up the metal shell from the side of the phone case.<br><br>2. Put the mobile phone on the magnetic glass plate.<br><br>3. Make the magnetic metal shell adsorbed from the side of this case.<br><br>4. The assembly of the iPhone case is completed.<br><br><b>More ways to unlock waiting for you to play:</b><br><br>Unlock Method 1: Open from left/right<br><br>Unlock Method 2: Open from up/down<br><br><b>Product Description:</b><br>Product Weight: 40g / 1.4oz.<br>Material: metal frame + tempered glass back.<br>0.2mm high lens to prevent the iPhone camera from scratching.<br>Precise hole position, will not affect use.<br>Metal frame protection technology, protects it well.<br><br>Invisible magnetic sheet adsorption. Easy to assem and use.<br><br>High-hardness tempered glass back, protects your iPhone from scratching.<br><br>Package Included:<br><br>1 * Magnetic Adsorption iPhone Case<br><br><b>Warning:</b><br> <br>Beware of falling When you drop the phone, the magnets may fall off causing the phone to slide out of the case.</b>",2201,620.0,"iPhone Xs MAX Case, ZHIKE Anti-Peep Magnetic Adsorption Case Front and Back Tempered Glass Full Screen Coverage One-Piece Design Flip Privacy Cover for Apple iPhone Xs MAX (Anti Spy-Clear Golden). [【Magnetic adsorption design】: Strong magnetic field adsorption technology take you to the new case era. From now on, case installing became a pleasure. It makes your iPhone stand out among crowd.,【Super easy installation】: Magnetic strong adsorption mobile phone shell (a total of 16 magnetic points) automatic closing, easy to assemble. More methods of installation are waiting for you to find out. (Note: Please remove the screen protector if there is a screen protector on your phone, otherwise it will affect the normal use of the phone case.),【Privacy Screen】: Only visible within +/- 30 degrees, it offers high definition when you view from the front. But the bystanders on both left and right sides can only see a black screen. Keeps your personal information safe from strange and curious eyes.,【All-round defence】: Full body metal frame protection & Anti-drop & Shock-absorbing design. Raised bezels lift screen and camera off flat surfaces, toughend nanoglass back, anti-scratch & anti-dirty, protect your phone from scratching, shock & smudge, premium materials offer unrivaled protection and enhanced durability.,【Precise Cut Outs】: Support wireless charging and will not affect the signal transmission. It's super seamless when the case pieces touch, slim cover fits well to your device and make it easy to access to all ports, speakers, chargers and all iPhone features.]. Note 1: Please install this phone case without the screen protector, you do not need to buy a screen protector.<br> Note 2: After wiping the screen inside the phone case, put the phone into the phone case.<br><br> <b>How to install the case for iPhone XS MAX?</b><br><br>1. Pick up the metal shell from the side of the phone case.<br><br>2. Put the mobile phone on the magnetic glass plate.<br><br>3. Make the magnetic metal shell adsorbed from the side of this case.<br><br>4. The assembly of the iPhone case is completed.<br><br><b>More ways to unlock waiting for you to play:</b><br><br>Unlock Method 1: Open from left/right<br><br>Unlock Method 2: Open from up/down<br><br><b>Product Description:</b><br>Product Weight: 40g / 1.4oz.<br>Material: metal frame + tempered glass back.<br>0.2mm high lens to prevent the iPhone camera from scratching.<br>Precise hole position, will not affect use.<br>Metal frame protection technology, protects it well.<br><br>Invisible magnetic sheet adsorption. Easy to assem and use.<br><br>High-hardness tempered glass back, protects your iPhone from scratching.<br><br>Package Included:<br><br>1 * Magnetic Adsorption iPhone Case<br><br><b>Warning:</b><br> <br>Beware of falling When you drop the phone, the magnets may fall off causing the phone to slide out of the case.</b>"
Der Lügner.,No Bullet Points,No Description,1,452.755,Der Lügner.. No Bullet Points. No Description
"Youth Restoring Night Holiday Bundle - Glycolic Cleanser, Retinol Serum, Collagen Night Cream - Anti Aging Skin Care Kit Reduce Wrinkles, Fine Lines, Dark Spots & Hyperpigmentation - InstaNatural","[AGE DEFYING INGREDIENTS - At InstaNatural, we believe that addressing aging concerns requires a unique combination of the most effective actives, and infusing them with natural ingredients that are known to provide powerful benefits in the skin.,AS SEEN IN SHAPE MAGAZINE - InstaNatural's skin-refining Night Cream was featured in Shape Magazine as one of the best nighttime skin creams around. Powerful peptide Matrixyl Synthe'6 is combined with Vitamin C, Niacinamide and natural oils to firm and hydrate the skin.,BEAUTY RESULTS - At InstaNatural, we believe in the power of the best regimen. Our Cleanser, Serum and Moisturizing Cream Trio provides effective age-defying results for all skin types.,REVEAL RADIANCE - InstaNatural's Collagen Night Cream leaves the skin hydrated and plump as it supports collagen III synthesis for boosted skin elasticity for visibly lifted, firm skin. Packed with Vitamin C, this moisturizing cream will leave a toned, tightened appearance, giving you a smooth, radiant complexion.]","Glycolic Cleanser: Aqua, Decyl Glucoside*, Sodium Hydroxypropylsulfonate Laurylglucoside Crosspolymer*, Cocamidopropyl Hydroxysultaine*, Lauryl Glucoside*, Glycolic Acid**, Glycerin*, Propanediol*, Coco-Glucoside*, Glyceryl Oleate*, Arginine*, Cucumis Sativus (Cucumber) Fruit Extract, Chamomilla Recutita (Chamomile) Flower Extract, Camellia Sinensis Leaf Extract, Saccharum Officinarum Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Hesperidin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Hibiscus Rosa-Sinensis Flower Extract, Lactic Acid*, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Salix Alba (Willow) Bark Extract, Hydrolyzed Jojoba Esters*, Tetrasodium Glutamate Diacetate*, Sclerotium Gum*, Xanthan Gum*, Caprylhydroxamic Acid*, Glyceryl Caprylate*. *Naturally Derived ** Safe Synthetic Retinol Serum: Aqua, Aloe Barbadensis Leaf Juice, Glycerin*, Sodium Ascorbyl Phosphate**, Potassium Cetyl Phosphate**, Dimethyl Sulfone*, Niacinamide**, Dicaprylyl Ether*, Limnanthes Alba (Meadowfoam) Seed Oil, Sodium Hyaluronate*, Retinol**, Caprylic/Capric Triglyceride*, Ubiquinone**, Astaxanthin, Hesperidin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Hibiscus Rosa-Sinensis Flower Extract, Salix Alba (Willow) Bark Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Aurantium Dulcis (Orange) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Geranium Maculatum Extract, Camellia Sinensis Leaf Extract, Tocopherol*, Xanthan Gum*, Pentylene Glycol*, Caprylyl Glycol**, Ethylhexylglycerin**, Citric Acid*, Limonene*, Linalool*. *Naturally Derived ** Safe Synthetic Collagen Night Cream: Aqua, Polyglyceryl-6 Distearate*, Propanediol*, Squalane, Cetyl Alcohol*, Heptyl Undecylenate*, Glyceryl Caprylate*, Glycerin*, Simmondsia Chinensis (Jojoba) Seed Oil, Microcrystalline Cellulose*, Sodium Ascorbyl Phosphate**, Rosa Moschata Seed Oil, Limnanthes Al",10165,335.0,"Youth Restoring Night Holiday Bundle - Glycolic Cleanser, Retinol Serum, Collagen Night Cream - Anti Aging Skin Care Kit Reduce Wrinkles, Fine Lines, Dark Spots & Hyperpigmentation - InstaNatural. [AGE DEFYING INGREDIENTS - At InstaNatural, we believe that addressing aging concerns requires a unique combination of the most effective actives, and infusing them with natural ingredients that are known to provide powerful benefits in the skin.,AS SEEN IN SHAPE MAGAZINE - InstaNatural's skin-refining Night Cream was featured in Shape Magazine as one of the best nighttime skin creams around. Powerful peptide Matrixyl Synthe'6 is combined with Vitamin C, Niacinamide and natural oils to firm and hydrate the skin.,BEAUTY RESULTS - At InstaNatural, we believe in the power of the best regimen. Our Cleanser, Serum and Moisturizing Cream Trio provides effective age-defying results for all skin types.,REVEAL RADIANCE - InstaNatural's Collagen Night Cream leaves the skin hydrated and plump as it supports collagen III synthesis for boosted skin elasticity for visibly lifted, firm skin. Packed with Vitamin C, this moisturizing cream will leave a toned, tightened appearance, giving you a smooth, radiant complexion.]. Glycolic Cleanser: Aqua, Decyl Glucoside*, Sodium Hydroxypropylsulfonate Laurylglucoside Crosspolymer*, Cocamidopropyl Hydroxysultaine*, Lauryl Glucoside*, Glycolic Acid**, Glycerin*, Propanediol*, Coco-Glucoside*, Glyceryl Oleate*, Arginine*, Cucumis Sativus (Cucumber) Fruit Extract, Chamomilla Recutita (Chamomile) Flower Extract, Camellia Sinensis Leaf Extract, Saccharum Officinarum Extract, Limnanthes Alba (Meadowfoam) Seed Oil, Hesperidin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Hibiscus Rosa-Sinensis Flower Extract, Lactic Acid*, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Salix Alba (Willow) Bark Extract, Hydrolyzed Jojoba Esters*, Tetrasodium Glutamate Diacetate*, Sclerotium Gum*, Xanthan Gum*, Caprylhydroxamic Acid*, Glyceryl Caprylate*. *Naturally Derived ** Safe Synthetic Retinol Serum: Aqua, Aloe Barbadensis Leaf Juice, Glycerin*, Sodium Ascorbyl Phosphate**, Potassium Cetyl Phosphate**, Dimethyl Sulfone*, Niacinamide**, Dicaprylyl Ether*, Limnanthes Alba (Meadowfoam) Seed Oil, Sodium Hyaluronate*, Retinol**, Caprylic/Capric Triglyceride*, Ubiquinone**, Astaxanthin, Hesperidin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Centella Asiatica Extract, Hibiscus Rosa-Sinensis Flower Extract, Salix Alba (Willow) Bark Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Aurantium Dulcis (Orange) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Geranium Maculatum Extract, Camellia Sinensis Leaf Extract, Tocopherol*, Xanthan Gum*, Pentylene Glycol*, Caprylyl Glycol**, Ethylhexylglycerin**, Citric Acid*, Limonene*, Linalool*. *Naturally Derived ** Safe Synthetic Collagen Night Cream: Aqua, Polyglyceryl-6 Distearate*, Propanediol*, Squalane, Cetyl Alcohol*, Heptyl Undecylenate*, Glyceryl Caprylate*, Glycerin*, Simmondsia Chinensis (Jojoba) Seed Oil, Microcrystalline Cellulose*, Sodium Ascorbyl Phosphate**, Rosa Moschata Seed Oil, Limnanthes Al"
