TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LENGTH,TEXT_SUMMARY
"DC Men's Rival Skateboarding Shoe, Black/White, 7 M US","[Textile underlays,Foam padded tongue and collar for comfort,DC's trademarked ""Pill Pattern"" Tread]",DC Mens Rival Shoes Details: The nuts and bolts: High-top shoes. Mix of Nubuck and Leather Upper. Mesh Lining. Foam Padded Tongue and Collar for Comfort and Support. Wrap Cup Construction. Composition: Upper: Leather / Lining: Textile / Outsole: Rubber.,3225,1430.0,"DC Men's Rival Skateboarding Shoe, Black/White, 7 M US. [Textile underlays,Foam padded tongue and collar for comfort,DC's trademarked ""Pill Pattern"" Tread]. DC Mens Rival Shoes Details: The nuts and bolts: High-top shoes. Mix of Nubuck and Leather Upper. Mesh Lining. Foam Padded Tongue and Collar for Comfort and Support. Wrap Cup Construction. Composition: Upper: Leather / Lining: Textile / Outsole: Rubber."
"MALI ENTERPRISES (1 M x 12 M (3.2 FT x 40 FT)) Green Shade Net 90% UV Protected for Terrace, Garden, Green House, Balcony & Gardening Multipurpose with Attached Eyelets 90% Virgin","[Made out of 100% Virgin HDPE material and Higher degree of UV stabilization helps the shade nets last longer.,High chemical and Wind to Resistance.,Help in cultivation of flower plants, foliage plants, medicinal and aromatic plant, vegetable and spices and Help to enhance yield during summer season,Protections against pest attack and Protects crops from natural weather disturbance such as wind, rain hail, frost. Snow, bird, and insects.,Size :-]","MALI ENTERPRISES Green Shade Net 90 % Virgin UV Stabilization, Protect to Direct Sun Rays_Strong Border with Both Side Metal Eyelets_Longer life Durability_Sun Protection And Dust protection Netting_Material USABLE :- Usable in Garden And Farm plants for UV Sun protection... Usable in window,Gallery and Balcony cover_Usable for Car Cover for Dust protection And Sun protection_Usable For Stop Working Construction part_Usable for home Roof shade to protect sun rays_Usable for Indoor Outdoor Curtain.",5735,1200.0,"MALI ENTERPRISES (1 M x 12 M (3.2 FT x 40 FT)) Green Shade Net 90% UV Protected for Terrace, Garden, Green House, Balcony & Gardening Multipurpose with Attached Eyelets 90% Virgin. [Made out of 100% Virgin HDPE material and Higher degree of UV stabilization helps the shade nets last longer.,High chemical and Wind to Resistance.,Help in cultivation of flower plants, foliage plants, medicinal and aromatic plant, vegetable and spices and Help to enhance yield during summer season,Protections against pest attack and Protects crops from natural weather disturbance such as wind, rain hail, frost. Snow, bird, and insects.,Size :-]. MALI ENTERPRISES Green Shade Net 90 % Virgin UV Stabilization, Protect to Direct Sun Rays_Strong Border with Both Side Metal Eyelets_Longer life Durability_Sun Protection And Dust protection Netting_Material USABLE :- Usable in Garden And Farm plants for UV Sun protection... Usable in window,Gallery and Balcony cover_Usable for Car Cover for Dust protection And Sun protection_Usable For Stop Working Construction part_Usable for home Roof shade to protect sun rays_Usable for Indoor Outdoor Curtain."
Balloonistics Cake Table Birthday Decoration Centerpiece Pack of 2 (Space),"[COLORFUL BIRTHDAY PARTY DECORATION: These colorful centerpieces can easily create a happy and fun atmosphere for your party with pretty patterns and bright colors. The elegant designs are suitable for theme parties, birthday parties or baby showers.,Easy to assemble: It is so simple that you can assemble, save time and effort quickly, allowing you to enjoy a happy time.,Double-sided printing: The colorful birthday table decorations are made of thick cards and adopt high-tech digital printing to ensure that the product is seamless, durable, lightweight and non-fading; very suitable for your theme party supplies and decorations.,Scope of application: In addition to serving as themed birthday party celebrations or decorations, birthday party centerpieces make your party attractive and eye-catching, give you a happy time, and leave fond memories between all of you.,Give a magical look to your party table by bringing all the characters on it. Since they cannot make it to your party, use this Mickey Mouse clubhouse centerpiece to make their presence felt.]","COLORFUL BIRTHDAY PARTY DECORATION: These colorful centerpieces can easily create a happy and fun atmosphere for your party with pretty patterns and bright colors. The elegant designs are suitable for theme parties, birthday parties or baby showers.",7267,1200.0,"Balloonistics Cake Table Birthday Decoration Centerpiece Pack of 2 (Space). [COLORFUL BIRTHDAY PARTY DECORATION: These colorful centerpieces can easily create a happy and fun atmosphere for your party with pretty patterns and bright colors. The elegant designs are suitable for theme parties, birthday parties or baby showers.,Easy to assemble: It is so simple that you can assemble, save time and effort quickly, allowing you to enjoy a happy time.,Double-sided printing: The colorful birthday table decorations are made of thick cards and adopt high-tech digital printing to ensure that the product is seamless, durable, lightweight and non-fading; very suitable for your theme party supplies and decorations.,Scope of application: In addition to serving as themed birthday party celebrations or decorations, birthday party centerpieces make your party attractive and eye-catching, give you a happy time, and leave fond memories between all of you.,Give a magical look to your party table by bringing all the characters on it. Since they cannot make it to your party, use this Mickey Mouse clubhouse centerpiece to make their presence felt.]. COLORFUL BIRTHDAY PARTY DECORATION: These colorful centerpieces can easily create a happy and fun atmosphere for your party with pretty patterns and bright colors. The elegant designs are suitable for theme parties, birthday parties or baby showers."
"WTF Is My Password: Password Book, Password Log Book and Internet Password Organizer, Logbook To Protect Usernames Password With Alphabetically Organized, Floral Design Cover",No Bullet Points,No Description,1,600.0,"WTF Is My Password: Password Book, Password Log Book and Internet Password Organizer, Logbook To Protect Usernames Password With Alphabetically Organized, Floral Design Cover. No Bullet Points. No Description"
"Micromax C1 Back Cover, Designer Printed Back Case Cover for Micromax C1","[**Due to the nature of different monitors/tablets/smart phones, color variation may occur and the product may look slightly different in person being a handmade item**,Need an awesome phone case but on a budget? Our brand new line of Impact Resistant cases are designed for those who value quality and protection in their phone cases.,All Our cases are waterproof (your phone may not be!), UV/fade resistant, non-peeling, printed with vibrant eco-friendly inks, extremely slim fitting with access to all functions.,Your case is a *UV Printed item* using a state-of-the-art printing process. You can be rest assured that the print quality will be of the highest possible standard; we use High-Definition ink and equipments.]","Get Best Printed Cover for your phone, These Cover Printed through the UV Technology so it can be use for daily basis.",12064,393.700787,"Micromax C1 Back Cover, Designer Printed Back Case Cover for Micromax C1. [**Due to the nature of different monitors/tablets/smart phones, color variation may occur and the product may look slightly different in person being a handmade item**,Need an awesome phone case but on a budget? Our brand new line of Impact Resistant cases are designed for those who value quality and protection in their phone cases.,All Our cases are waterproof (your phone may not be!), UV/fade resistant, non-peeling, printed with vibrant eco-friendly inks, extremely slim fitting with access to all functions.,Your case is a *UV Printed item* using a state-of-the-art printing process. You can be rest assured that the print quality will be of the highest possible standard; we use High-Definition ink and equipments.]. Get Best Printed Cover for your phone, These Cover Printed through the UV Technology so it can be use for daily basis."
"Among us Keychain, Among us Game Toy Key Chain 2 Pack, Amung us toy keys, Imposter Among us Toy Kids, Almong us Keychain Ring Pink for Women, Personalized Keychain (Among-us-Keychain)","[★ Packgae : 2 Pack cute Among Us toys key chain,★ doll size (excluding keychain): about:1.9*1IN,★ Eco-friendly：The keychain is made of safe silicone & zinc alloy, environmentally friendly, non-toxic, safe and reliable, the key ring is very strong.,★ 2colors, green, blue,★ It's perfect for keys, bags, backpacks, cell phones, cars or other exquisite items.]","Perfect Key Chain, Backpack Chain To Add Color For Your Handbag, Keys, Wallet Or Car Or Other Items You Like, Suitable For People Of All Ages.<br><br>These cute little Among us are perfect for DIY key chain rings, backpack pendant decor, Suitable for both personal dress up and key decorations home decor and more. <br><br>Perfect Toy ,Mini Shape For Easy Storage And Carrying, It'S Also A Great Birthday Present, A Christmas Present For Kids There Are 6 Colors, Family For Christmas, Valentine'S Day And Other Holidays.",3453,190.0,"Among us Keychain, Among us Game Toy Key Chain 2 Pack, Amung us toy keys, Imposter Among us Toy Kids, Almong us Keychain Ring Pink for Women, Personalized Keychain (Among-us-Keychain). [★ Packgae : 2 Pack cute Among Us toys key chain,★ doll size (excluding keychain): about:1.9*1IN,★ Eco-friendly：The keychain is made of safe silicone & zinc alloy, environmentally friendly, non-toxic, safe and reliable, the key ring is very strong.,★ 2colors, green, blue,★ It's perfect for keys, bags, backpacks, cell phones, cars or other exquisite items.]. Perfect Key Chain, Backpack Chain To Add Color For Your Handbag, Keys, Wallet Or Car Or Other Items You Like, Suitable For People Of All Ages.<br><br>These cute little Among us are perfect for DIY key chain rings, backpack pendant decor, Suitable for both personal dress up and key decorations home decor and more. <br><br>Perfect Toy ,Mini Shape For Easy Storage And Carrying, It'S Also A Great Birthday Present, A Christmas Present For Kids There Are 6 Colors, Family For Christmas, Valentine'S Day And Other Holidays."
"Decor Production Love Theme MDF Scrapbook Memory Book, Photo Album for Memories, Gifting Purpose for Friends, Love, Birthday, Anniversary, Marriage etc_32","[MDF SCRAPBOOK PHOTO ALBUM, Size : (26 cm x 16 cm i.e 10x6 inch),As opposed to most flimsy photo albums our scrapbook is bound together with 2 adjustable metal buckles which allow you to add or remove pages freely. Made of premium quality materials it is as sturdy and durable as a book and will preserve your photos and memories for years to come. You can fill it up with shared memories and offer a unique gift to a loved one or gift it blank so that your recipient can create their own adventure book.,PERFECT FOR GIFTING: This scrapbook is designed for Meaningful Gift for families and friends, using thick kraft paper which is perfect for writing, drawing and storing photos. Surprise your boy/ girlfriend and families, collect your wonderful memories with our handmade DIY Scrapbook. Ideal gift for Valentine’s Day, Christmas, Anniversary, Mother's Day,, Birthday and Anniversary. A memory book of our own adventures, It also can be used as Travel Record, Wedding Album, Baby grow Album]","DECOR PRODUCTION presents to you this Creative MDF Photo Album Scrap Book. It's a wonderful idea to gift for your friends, family or relatives. Because there are memories that we may want to keep, to store, to share with family members, friends, records that in photo albums, decor it with hands, which would become a special collection. Hard wooden cover makes it sturdy and stylish, blank 30 black colour leaves are for photos, stickers, writing etc to creative memories with DIY photo albums, pick the happiest, most joyful, unforgettable moments which recorded on prints, decor it with scrapbooking supplies we carefully selected, come with our innermost thoughts and feelings, let it be a wonderful and precious gift., .",5504,1102.3622036,"Decor Production Love Theme MDF Scrapbook Memory Book, Photo Album for Memories, Gifting Purpose for Friends, Love, Birthday, Anniversary, Marriage etc_32. [MDF SCRAPBOOK PHOTO ALBUM, Size : (26 cm x 16 cm i.e 10x6 inch),As opposed to most flimsy photo albums our scrapbook is bound together with 2 adjustable metal buckles which allow you to add or remove pages freely. Made of premium quality materials it is as sturdy and durable as a book and will preserve your photos and memories for years to come. You can fill it up with shared memories and offer a unique gift to a loved one or gift it blank so that your recipient can create their own adventure book.,PERFECT FOR GIFTING: This scrapbook is designed for Meaningful Gift for families and friends, using thick kraft paper which is perfect for writing, drawing and storing photos. Surprise your boy/ girlfriend and families, collect your wonderful memories with our handmade DIY Scrapbook. Ideal gift for Valentine’s Day, Christmas, Anniversary, Mother's Day,, Birthday and Anniversary. A memory book of our own adventures, It also can be used as Travel Record, Wedding Album, Baby grow Album]. DECOR PRODUCTION presents to you this Creative MDF Photo Album Scrap Book. It's a wonderful idea to gift for your friends, family or relatives. Because there are memories that we may want to keep, to store, to share with family members, friends, records that in photo albums, decor it with hands, which would become a special collection. Hard wooden cover makes it sturdy and stylish, blank 30 black colour leaves are for photos, stickers, writing etc to creative memories with DIY photo albums, pick the happiest, most joyful, unforgettable moments which recorded on prints, decor it with scrapbooking supplies we carefully selected, come with our innermost thoughts and feelings, let it be a wonderful and precious gift., ."
Tomica action construction site (japan import),"[Japan Toy Car Model - Tomica action construction site *AF27*,w/tracking by Jp post]",Japan Toy Car Model - Tomica action construction site *AF27*0,985,835.0,"Tomica action construction site (japan import). [Japan Toy Car Model - Tomica action construction site *AF27*,w/tracking by Jp post]. Japan Toy Car Model - Tomica action construction site *AF27*0"
Couperin: La Paix Du Parnasse,No Bullet Points,No Description,744,560.0,Couperin: La Paix Du Parnasse. No Bullet Points. No Description
"Naiture Stainless Steel 72'' x 48'' Corner Shower Curtain Rod with Ceiling Support, Chrome Finish","[The rod was made of stainless steel which will never get rust.,Size: 72'' x 48'',Finish: Chrome,Rod may be cut to desired length. Includes one 36"" ceiling support which may be cut to needed length.,Shower curtain rod ships in three pieces. Simple assembly required.]","<b>Material: </b>Stainless Steel <br> <b>Size: </b>1"" OD <br> <b>Metal Thickness: </b>0.8mm <br> <b>Rod may be cut to desired length. Includes one 36"" ceiling support which may be cut to needed length. <br> <b>Shower curtain rod ships in three pieces. Simple assembly required.",1687,7200.0,"Naiture Stainless Steel 72'' x 48'' Corner Shower Curtain Rod with Ceiling Support, Chrome Finish. [The rod was made of stainless steel which will never get rust.,Size: 72'' x 48'',Finish: Chrome,Rod may be cut to desired length. Includes one 36"" ceiling support which may be cut to needed length.,Shower curtain rod ships in three pieces. Simple assembly required.]. <b>Material: </b>Stainless Steel <br> <b>Size: </b>1"" OD <br> <b>Metal Thickness: </b>0.8mm <br> <b>Rod may be cut to desired length. Includes one 36"" ceiling support which may be cut to needed length. <br> <b>Shower curtain rod ships in three pieces. Simple assembly required."
Qty 500 Small Index Card 3 x 5 Laminating Sleeves Hot Laminator Pouches 5 Mil,No Bullet Points,No Description,5125,500.0,Qty 500 Small Index Card 3 x 5 Laminating Sleeves Hot Laminator Pouches 5 Mil. No Bullet Points. No Description
"2X5, B. Wavy Stripes : Diagona Designs Contemporary Wavy Stripes Design Non-Slip Runner Area Rug, 20"" W x 59"" L, Multi Color",No Bullet Points,No Description,712,5900.0,"2X5, B. Wavy Stripes : Diagona Designs Contemporary Wavy Stripes Design Non-Slip Runner Area Rug, 20"" W x 59"" L, Multi Color. No Bullet Points. No Description"
SPYCLOUD Moda 4GB Pen Drive Spy Product,"[Video Resolution : 1920*1080,Image Resolution : 1600*1200,Unique Function : Sound record seperately ; Record Time : 1 hours,Storage Capacity : Max.32G TF card ; Package Size : 190*75*85MM ; Net Weight : 50g]","SPYCLOUD Spy products Features: 100% complete new. Built-in Microphone available. Flash Memory: No memory built-in. Latest fashionable appearance, outstanding video recording. With TF card slot, Support Max 16GB Micro SD card (card is not included) Easy to handle and portable using with stability, reliability and rapid response etc. Specifications: Video format:AVI Video encoding:M-JPEG Video resolution:720*480 VGA Video frame rate:30 FPS Picture format:JPG 1280*960 The ratio of image:4:3 Supporting system:Windows me/2000xp 2003/ vista Working hour:About 90 minutes Charge pressure:DC-5V Interface type:MINI 5pin USB Storage support:TF card (up to 16G ) Battery type:High-capacity polymer lithium polymer Charging time:About 3 hours Operating Temperature 0~40? package Includes: 1 x Spy Button DV 1 x USB Cable",2041,354.3307083,"SPYCLOUD Moda 4GB Pen Drive Spy Product. [Video Resolution : 1920*1080,Image Resolution : 1600*1200,Unique Function : Sound record seperately ; Record Time : 1 hours,Storage Capacity : Max.32G TF card ; Package Size : 190*75*85MM ; Net Weight : 50g]. SPYCLOUD Spy products Features: 100% complete new. Built-in Microphone available. Flash Memory: No memory built-in. Latest fashionable appearance, outstanding video recording. With TF card slot, Support Max 16GB Micro SD card (card is not included) Easy to handle and portable using with stability, reliability and rapid response etc. Specifications: Video format:AVI Video encoding:M-JPEG Video resolution:720*480 VGA Video frame rate:30 FPS Picture format:JPG 1280*960 The ratio of image:4:3 Supporting system:Windows me/2000xp 2003/ vista Working hour:About 90 minutes Charge pressure:DC-5V Interface type:MINI 5pin USB Storage support:TF card (up to 16G ) Battery type:High-capacity polymer lithium polymer Charging time:About 3 hours Operating Temperature 0~40? package Includes: 1 x Spy Button DV 1 x USB Cable"
Stylo Culture Traditional Polydupion Silk Decorative Cylindrical Tubular Bolster Cover Brown Mandala Jacquard Brocade Border Large Diwan Cylinder Masand Pillow Cover (1 Pc) | 30x15 Inches,"[Product Work: Jacquard brocade border | Material: Polydupion & Brocade,Color: Brown | Size in Inches: Length-30 x Width-15 inches (76x38 cm) | Shape: Cylindrical,Package Contents: 1 Bolster Cover | Pattern: Mandala & floral | Closer Type: Drawstring,Care Instructions: Gentle handwash in cold water or dry clean. Do not use strong detergent or bleach | Disclaimer: Color may slightly vary due to monitor resolution,Usage: Almost any Such As For Yoga, Neck Rest, Sofa Decor, Living Room Accessories, Bedroom Decor, use it as Decorative Accessories, for Outdoor and Traveling purposes. They are perfect for Gifting purpose as well. RECOMMENDED BOLSTER FILLER SIZE REQUIRED FOR THESE BOLSTER COVERS IS LENGTH-26 x Diameter-9 Inches (66x23 cm). Alteratively, they can be filled with duck feather cushions.]","Stylo Culture presents home decorative unique cylindrical bolster cover (also known as masand cover in India) made in poludupion fabric with jacquard brocade border. A bolster cover is a long narrow pillow cushion cover which can be filled with cotton, down or fibre. It is perfect for times you want to add some vibrancy into your home and will glorify your abode of happiness. Made in fine quality it is designed by expert artisans jacquard handloom with in Rajasthan - an Indian state known for art and craft. Besides providing utmost comfort, the traditional pattern will surely beautify the aura of your home and attract the attention of your guests. It is firm for back or arm support and can be used for decorative purposes. The bolster cover comes with drawstrings closure and the sales package is 1 Bolster Cover and it DOES NOT INCLUDE FILLER/INSERT. The size of the bolster cover is 30x15 inches (76x38 cm). Please refer to the product images to understand the sizing.",7256,2992.1259812,"Stylo Culture Traditional Polydupion Silk Decorative Cylindrical Tubular Bolster Cover Brown Mandala Jacquard Brocade Border Large Diwan Cylinder Masand Pillow Cover (1 Pc) | 30x15 Inches. [Product Work: Jacquard brocade border | Material: Polydupion & Brocade,Color: Brown | Size in Inches: Length-30 x Width-15 inches (76x38 cm) | Shape: Cylindrical,Package Contents: 1 Bolster Cover | Pattern: Mandala & floral | Closer Type: Drawstring,Care Instructions: Gentle handwash in cold water or dry clean. Do not use strong detergent or bleach | Disclaimer: Color may slightly vary due to monitor resolution,Usage: Almost any Such As For Yoga, Neck Rest, Sofa Decor, Living Room Accessories, Bedroom Decor, use it as Decorative Accessories, for Outdoor and Traveling purposes. They are perfect for Gifting purpose as well. RECOMMENDED BOLSTER FILLER SIZE REQUIRED FOR THESE BOLSTER COVERS IS LENGTH-26 x Diameter-9 Inches (66x23 cm). Alteratively, they can be filled with duck feather cushions.]. Stylo Culture presents home decorative unique cylindrical bolster cover (also known as masand cover in India) made in poludupion fabric with jacquard brocade border. A bolster cover is a long narrow pillow cushion cover which can be filled with cotton, down or fibre. It is perfect for times you want to add some vibrancy into your home and will glorify your abode of happiness. Made in fine quality it is designed by expert artisans jacquard handloom with in Rajasthan - an Indian state known for art and craft. Besides providing utmost comfort, the traditional pattern will surely beautify the aura of your home and attract the attention of your guests. It is firm for back or arm support and can be used for decorative purposes. The bolster cover comes with drawstrings closure and the sales package is 1 Bolster Cover and it DOES NOT INCLUDE FILLER/INSERT. The size of the bolster cover is 30x15 inches (76x38 cm). Please refer to the product images to understand the sizing."
